FACILITY_ID,FACILITY_NAME,CHEM_NAME,CAS_NUM,CHEM_ID,CARCINOGEN,CLEAN_AIR,LIST_3350,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_ABBR,GENERIC_CHEM_NAME,CAS_CHEM_NAME,INDUSTRY_CODE
60450LMXML5555E,SAPA EXTRUSIONS INC,MANGANESE COMPOUNDS,N450,N450,N,Y,N,8920 N TABLER RD,MORRIS,GRUNDY,IL,NA,MANGANESE COMPOUNDS,331
60803VLRLS36W13,PREMCOR ALSIP DISTRIBUTION CENTER,METHANOL,     67-56-1,67561,N,Y,N,3600 W 131ST ST,ALSIP,COOK,IL,NA,METHANOL,324
60617HRSHD2701E,HORSEHEAD CORP,MANGANESE COMPOUNDS,N450,N450,N,Y,N,2701 E 114TH ST,CHICAGO,COOK,IL,NA,MANGANESE COMPOUNDS,331
61032MCRSWWALNU,HONEYWELL INTERNATIONAL INC-PLANT 4,MERCURY,   7439-97-6,7439976,N,Y,Y,2520 S WALNUT RD,FREEPORT,STEPHENSON,IL,NA,MERCURY,334
60131BLMNT3410N,BELMONT PLATING WORKS,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),N090,N090,N,Y,Y,3410 N RIVER RD,FRANKLIN PARK,COOK,IL,NA,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION),332
60633FRDMT12600,FORD MOTOR CO CHICAGO ASSEMBLY,XYLENE (MIXED ISOMERS),   1330-20-7,1330207,N,Y,Y,12600 S TORRENCE AVE,CHICAGO,COOK,IL,NA,XYLENE (MIXED ISOMERS),336
60609MRCNN1101W,ARDAGH METAL BEVERAGE USA INC RE : CHICAGO PLANT,N-BUTYL ALCOHOL,     71-36-3,71363,N,N,N,1101 W 43RD ST,CHICAGO,COOK,IL,NA,N-BUTYL ALCOHOL,332
60062MJRRF455AC,MAJOR REFLECTOR PRODUCTS,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",   7664-93-9,7664939,N,N,N,455 ACADEMY DR,NORTHBROOK,COOK,IL,NA,"SULFURIC ACID (1994 AND AFTER ""ACID AEROSOLS"" ONLY)",332
61761DMNDS100ND,MITSUBISHI MOTORS NA INC,COPPER,   7440-50-8,7440508,N,N,N,100 N MITSUBISHI MOTORWAY,NORMAL,MCLEAN,IL,NA,COPPER,336
62040PRCTM25NOR,PRECOAT METALS,XYLENE (MIXED ISOMERS),   1330-20-7,1330207,N,Y,Y,25 NORTHGATE IND US TRIAL DR,GRANITE CITY,MADISON,IL,NA,XYLENE (MIXED ISOMERS),332
60648BDCKC5700W,A B DICK CO,COPPER,   7440-50-8,7440508,N,N,N,5700 W TOUHY AVE,NILES,COOK,IL,NA,COPPER,333
60076HDGCR7247N,LAMBENT TECHNOLOGIES CORP,ETHYLENE OXIDE,     75-21-8,75218,Y,Y,N,7247 N CENTRAL PARK AVE,SKOKIE,COOK,IL,NA,ETHYLENE OXIDE,325
61537BFGDRRR1BO,EMERALD PERFORMANCE MATERIALS LLC,ANILINE,     62-53-3,62533,N,Y,N,1550 COUNTY RD  1450 N,HENRY,MARSHALL,IL,NA,ANILINE,325
60630RNNDS5170N,ORION INDUSTRIES LTD,METHYL ETHYL KETONE,     78-93-3,78933,N,N,Y,5170 N W HWY,CHICAGO,COOK,IL,NA,METHYL ETHYL KETONE,332
62040PRCTM25NOR,PRECOAT METALS,NITRIC ACID,   7697-37-2,7697372,N,N,N,25 NORTHGATE IND US TRIAL DR,GRANITE CITY,MADISON,IL,NA,NITRIC ACID,332
60450RCHHLCOLLI,REICHHOLD LLC 2,FORMALDEHYDE,     50-00-0,50000,Y,Y,N,6350 E COLLINS RD,MORRIS,GRUNDY,IL,NA,FORMALDEHYDE,325
