FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,COUNTY_NAME,STATE_COUNTY_FIPS_CODE,Code Expansion for State  FIPS Code,STATE_ABBR,Code Expansion for State Abbreviation,ZIP_CODE,REGION,Code Expansion for Region,FAC_CLOSED_IND,MAIL_NAME,MAIL_STREET_ADDRESS,MAIL_CITY,MAIL_STATE_ABBR,MAIL_COUNTRY,MAIL_ZIP_CODE,ASGN_AGENCY,Code Expansion for Assigned Agency,ASGN_FEDERAL_IND,PARENT_CO_DB_NUM,PARENT_CO_NAME,STANDARDIZED_PARENT_COMPANY,ASGN_PARTIAL_IND,ASGN_PUBLIC_CONTACT,ASGN_PUBLIC_PHONE,ASGN_PUBLIC_CONTACT_EMAIL,REGISTRY_ID,ASGN_PUBLIC_PHONE_EXT,LATITUDE,LONGITUDE,REF_POINT_DESC,REF_POINT_CODE,COLLECT_DESC,COLLECT_MTH_CODE,ACCURACY_VALUE,ACCURACY_SCORE,HDATUM_DESC,SCALE,SOURCE_CODE,CONVEYOR,COMPLIANCE_URL,FACILITY_COMPLIANCE_REPORT_URL
60002NWYSP905AN,NUWAY SPEAKER PRODUCTS INC,945 ANITA AVE,ANTIOCH,LAKE,17097,LAKE IL,IL,N/A,60002,5,REGION 5,0,NUWAY SPEAKER PRODUCTS INC,945 ANITA AVE,ANTIOCH,IL,,60002,,N/A,C,NA,No US Parent,,0,GEORGE WISE,8473955141,GWISE@NUWAY-SPEAKER.COM,1.10E+11,,42.47692,-88.089084,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,20,20,NAD83,,,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60002NWYSP905AN
60005BRKND511WA,BUHRKE INDUSTRIES LLC,501-511 W ALGONQUIN RD,ARLINGTON HEIGHTS,COOK,17031,COOK IL,IL,N/A,60005,5,REGION 5,0,BUHRKE INDUSTRIES LLC,511 W. ALGONQUIN ROAD,ARLINGTON HEIGHTS,IL,,60005,,N/A,C,177860801,IMS COS LLC,IMS COS LLC,0,KEITH KRUTZ,8479817550,KKRUTZ@IMSMFG.COM,1.10E+11,,42.04621,-87.99012,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,5,99999999,NAD83,,17,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60005BRKND511WA
60006CHCGL1680C,CHICAGOLAND PROCESSING CORP,1680 CARMEN DR,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60006,5,REGION 5,1,CHICAGOLAND PROCESSING CORP,1680 CARMEN DR,ELK GROVE VILLAGE,IL,,60006,,N/A,C,NA,No US Parent,,0,JOHN P. OBIE,7089810310,,1.10E+11,,42.002857,-87.936559,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,50,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60006CHCGL1680C
60007BRKSH2075B,BANTA DIRECT MARKETING CHICAGO,2075 BUSSE RD,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,BANTA DIRECT MARKETING CHICAGO,2075 BUSSE RD,ELK GROVE VILLAGE,IL,,60007,,N/A,C,6076525,BANTA CORP,,0,ELMER PIPER,8475931200,,1.10E+11,,41.996409,-87.957618,FACILITY CENTROID,20,INTERPOLATION-PHOTO,19,20,20,NAD83,,,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007BRKSH2075B
60007CDHLN2451E,C A DAHLIN CO,2451 ESTES AVE,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,600075493,5,REGION 5,0,C A DAHLIN CO,2451 ESTES AVE,ELK GROVE VILLAGE,IL,,60007-5493,,N/A,C,NA,No US Parent,,0,RODNEY C DAYLLIN,8474391212,,1.10E+11,,42.00625,-87.94313,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007CDHLN2451E
60007CHCGM901CH,CHICAGO MAGNET WIRE CORP,901 CHASE ST,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,CHICAGO MAGNET WIRE CORP,901 CHASE ST,ELK GROVE VILLAGE,IL,,60007,,N/A,C,1291111,PHILIPS ELECTRONICS NA CORP,,0,ROBERT GURLEY,8474375750,,1.10E+11,,42.00999,-87.97355,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007CHCGM901CH
60007CNCHC1501M,PERFECTION PLATING INC,1521 MORSE AVE,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,PERFECTION PLATING INC,1521 MORSE AVE,ELK GROVE VILLAGE,IL,,60007,,N/A,C,46569620,PERFECTION PLATING,PERFECTION PLATING,0,MR. LOUIS DEL MONTE,8475936506,LDELMONTE@PERFECTIONPLATE.COM,1.10E+11,,42.00005,-87.96328,CENTER OF A FACILITY OR STATION,102,ADDRESS MATCHING-HOUSE NUMBER,1,30,30,NAD83,,82,FRS-GEOCODE,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007CNCHC1501M
60007CRNDS2515P,CR IND,2515 PAN AM BLVD,ELK GROVE VILLAGE,DUPAGE,17043,DUPAGE IL,IL,N/A,60007,5,REGION 5,1,CR IND,2515 PAN AM BLVD,ELK GROVE VILLAGE,IL,,60007,,N/A,C,5105558,CR IND,,0,LARRY KAGEL,7087427840,,1.10E+11,,41.987504,-87.941597,ENTRANCE POINT OF A FACILITY OR STATION,101,ADDRESS MATCHING-HOUSE NUMBER,1,50,99999999,NAD83,,82,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007CRNDS2515P
60007FPMHT1501S,FPM LLC,1501 S LIVELY BLVD,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,FPM LLC,1501 S LIVELY BLVD,ELK GROVE VILLAGE,IL,,60007,,N/A,C,94740412,FPM LLC,FPM LLC,0,GEORGE MANSEAU,8478672670,GMANSEAU@FPMHT.COM,1.10E+11,,42.00342,-87.96927,CENTER OF A FACILITY OR STATION,102,INTERPOLATION-PHOTO,19,20,99999999,NAD83,12000,17,FRS-TRIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007FPMHT1501S
60007LDNPR2000A,QUEBECOR WORLD CHICAGO DIV ELK GROVE VILLAGE,2000 ARRTHUR AVE,ELK GROVE VILLAGE,COOK,17031,COOK IL,IL,N/A,60007,5,REGION 5,0,QUEBECOR WORLD,6215 N LUNDY AVE,CHICAGO,IL,,60646,,N/A,C,6265649,QUEBECOR WORLD USA CORP,,0,ANN PANTLE O'BRIEN,7736313869,,1.10E+11,,41.996419,-87.951467,ACRES POINTS NOT REPRESENTED BY 101-107,108,INTERPOLATION-PHOTO,19,10,10,NAD83,12000,17,EIS,https://echo.epa.gov/detailed-facility-report?fid=,https://echo.epa.gov/detailed-facility-report?fid=60007LDNPR2000A
